Earthquake,Station,Channel,Prediction
2002-09-12 11:30:32,CEY,BHT,1
2002-09-12 11:30:32,CEY,BHR,1
2002-09-12 11:30:32,CEY,BHZ,1
2002-09-16 11:59:33,CEY,BHT,1
2002-09-16 11:59:33,CEY,BHR,1
2002-09-16 11:59:33,CEY,BHZ,1
2002-09-16 11:59:33,OBKA,BHT,1
2002-09-16 11:59:33,OBKA,BHR,1
2002-09-16 11:59:33,OBKA,BHZ,1
2002-09-26 12:00:19,CEY,BHT,1
2002-09-26 12:00:19,CEY,BHR,1
2002-09-26 12:00:19,CEY,BHZ,1
2002-11-05 12:28:54,CEY,BHT,0
2002-11-05 12:28:54,CEY,BHR,0
2002-11-05 12:28:54,CEY,BHZ,0
2002-11-08 13:25:29,CEY,BHT,1
2002-11-08 13:25:29,CEY,BHR,1
2002-11-08 13:25:29,CEY,BHZ,1
2002-11-08 13:25:29,OBKA,BHT,0
2002-11-08 13:25:29,OBKA,BHR,0
2002-11-08 13:25:29,OBKA,BHZ,0
2002-12-02 13:00:17,CEY,BHT,1
2002-12-02 13:00:17,CEY,BHR,1
2002-12-02 13:00:17,CEY,BHZ,1
2002-12-20 11:59:59,CEY,BHT,0
2002-12-20 11:59:59,CEY,BHR,0
2002-12-20 11:59:59,CEY,BHZ,0
2002-12-20 11:59:59,OBKA,BHT,1
2002-12-20 11:59:59,OBKA,BHR,1
2002-12-20 11:59:59,OBKA,BHZ,1
2003-01-14 13:15:13,CEY,BHT,1
2003-01-14 13:15:13,CEY,BHR,1
2003-01-14 13:15:13,CEY,BHZ,1
2003-01-17 13:15:42,CEY,BHT,1
2003-01-17 13:15:42,CEY,BHR,1
2003-01-17 13:15:42,CEY,BHZ,1
2003-01-17 13:15:42,OBKA,BHT,1
2003-01-17 13:15:42,OBKA,BHR,1
2003-01-17 13:15:42,OBKA,BHZ,1
2003-02-19 11:59:47,CEY,BHT,0
2003-02-19 11:59:47,CEY,BHR,0
2003-02-19 11:59:47,CEY,BHZ,0
2003-02-26 12:29:58,CEY,BHT,0
2003-02-26 12:29:58,CEY,BHR,0
2003-02-26 12:29:58,CEY,BHZ,0
2003-03-10 12:03:42,CEY,BHT,1
2003-03-10 12:03:42,CEY,BHR,1
2003-03-10 12:03:42,CEY,BHZ,1
2003-03-11 11:59:36,CEY,BHT,1
2003-03-11 11:59:36,CEY,BHR,1
2003-03-11 11:59:36,CEY,BHZ,1
2003-03-11 11:59:36,OBKA,BHT,1
2003-03-11 11:59:36,OBKA,BHR,1
2003-03-11 11:59:36,OBKA,BHZ,1
2003-03-18 12:29:55,CEY,BHT,1
2003-03-18 12:29:55,CEY,BHR,1
2003-03-18 12:29:55,CEY,BHZ,1
2003-03-18 12:29:55,OBKA,BHT,1
2003-03-18 12:29:55,OBKA,BHR,1
2003-03-18 12:29:55,OBKA,BHZ,1
2003-04-01 12:00:38,CEY,BHT,1
2003-04-01 12:00:38,CEY,BHR,1
2003-04-01 12:00:38,CEY,BHZ,1
2003-05-22 12:00:06,CEY,BHT,1
2003-05-22 12:00:06,CEY,BHR,1
2003-05-22 12:00:06,CEY,BHZ,1
2003-05-22 12:00:06,LJU,BHT,1
2003-05-22 12:00:06,LJU,BHR,1
2003-05-22 12:00:06,LJU,BHZ,1
2003-06-11 11:59:56,CEY,BHT,0
2003-06-11 11:59:56,CEY,BHR,0
2003-06-11 11:59:56,CEY,BHZ,0
2003-07-17 11:54:55,CEY,BHT,1
2003-07-17 11:54:55,CEY,BHR,1
2003-07-17 11:54:55,CEY,BHZ,1
2003-09-03 10:59:40,CEY,BHT,0
2003-09-03 10:59:40,CEY,BHR,0
2003-09-03 10:59:40,CEY,BHZ,0
2003-09-05 12:00:55,CEY,BHT,1
2003-09-05 12:00:55,CEY,BHR,1
2003-09-05 12:00:55,CEY,BHZ,1
2003-09-05 12:00:55,LJU,BHT,0
2003-09-05 12:00:55,LJU,BHR,0
2003-09-05 12:00:55,LJU,BHZ,0
2003-09-12 11:31:23,CEY,BHT,0
2003-09-12 11:31:23,CEY,BHR,0
2003-09-12 11:31:23,CEY,BHZ,0
2003-09-12 11:31:23,OBKA,BHT,1
2003-09-12 11:31:23,OBKA,BHR,1
2003-09-12 11:31:23,OBKA,BHZ,1
2003-10-03 11:55:32,CEY,BHT,0
2003-10-03 11:55:32,CEY,BHR,0
2003-10-03 11:55:32,CEY,BHZ,0
2003-10-03 11:55:32,OBKA,BHT,1
2003-10-03 11:55:32,OBKA,BHR,1
2003-10-03 11:55:32,OBKA,BHZ,1
2003-10-17 11:30:34,CEY,BHT,0
2003-10-17 11:30:34,CEY,BHR,0
2003-10-17 11:30:34,CEY,BHZ,0
2003-10-28 12:59:44,CEY,BHT,0
2003-10-28 12:59:44,CEY,BHR,0
2003-10-28 12:59:44,CEY,BHZ,0
2003-10-28 12:59:44,OBKA,BHT,1
2003-10-28 12:59:44,OBKA,BHR,1
2003-10-28 12:59:44,OBKA,BHZ,1
2003-11-20 12:29:57,CEY,BHT,1
2003-11-20 12:29:57,CEY,BHR,1
2003-11-20 12:29:57,CEY,BHZ,1
2003-11-20 12:29:57,OBKA,BHT,1
2003-11-20 12:29:57,OBKA,BHR,1
2003-11-20 12:29:57,OBKA,BHZ,1
2003-12-05 12:32:09,CEY,BHT,0
2003-12-05 12:32:09,CEY,BHR,0
2003-12-05 12:32:09,CEY,BHZ,0
2003-12-05 12:32:09,LJU,BHT,1
2003-12-05 12:32:09,LJU,BHR,1
2003-12-05 12:32:09,LJU,BHZ,1
2003-12-05 12:32:09,OBKA,BHT,1
2003-12-05 12:32:09,OBKA,BHR,1
2003-12-05 12:32:09,OBKA,BHZ,1
2004-01-14 12:56:00,CEY,BHT,0
2004-01-14 12:56:00,CEY,BHR,0
2004-01-14 12:56:00,CEY,BHZ,0
2004-01-14 12:56:00,LJU,BHT,1
2004-01-14 12:56:00,LJU,BHR,1
2004-01-14 12:56:00,LJU,BHZ,1
2004-01-21 12:30:25,CEY,BHT,0
2004-01-21 12:30:25,CEY,BHR,0
2004-01-21 12:30:25,CEY,BHZ,0
2004-01-28 12:30:42,OBKA,BHT,1
