,seed,fold,fnr,fpr,acc
0,0,0,0.0325430134732,0.0340216453383,0.96772736311
1,1,0,0.0220173902213,0.0350859017021,0.972241044044
2,2,0,0.0299566122701,0.023026634934,0.97314375639
3,3,0,0.0265180846442,0.0259637041569,0.972918093204
4,4,0,0.0275442438531,0.0284446653625,0.97246670723
5,0,1,0.0126970020468,0.0055117527294,0.989616274834
6,1,1,0.0105163061876,0.00637388543725,0.990744948387
7,2,1,0.0102714767762,0.00663178819527,0.990519165993
8,3,1,0.0135909176508,0.0047380444859,0.989841997623
9,4,1,0.0106871182937,0.00700022097281,0.990519165993
